订单号,产品类别,产品名称,销售数量,单价
6873634429,服装,围巾,9,129
5832767756,服装,睡衣,5,199
5843292822,电子产品,摄像头,2,399
6821083023,家居用品,蜡烛,7,49
6891026316,家居用品,纸巾,7,39
6801790157,图书,漫画,5,39
5892600327,家居用品,扫把,1,39
5880271871,食品,薯片,4,19
5818218201,图书,绘本,10,59
6858846330,家居用品,衣架,1,39
5829660564,图书,小说,3,49
5896831836,食品,蜂蜜,4,89
6835336746,家居用品,窗帘,5,399
5839508692,食品,方便面,8,49
6882057428,服装,卫衣,8,349
6806158927,服装,半身裙,2,299
6862339896,服装,袜子,6,29
5892136984,家居用品,收纳盒,6,79
5835039492,电子产品,智能手机,7,2999
5868754932,电子产品,平板电脑,5,2499
6849483942,电子产品,摄像头,6,399
5836504290,服装,手套,1,59
5822289941,图书,画册,1,99
5859159196,服装,短裤,3,149
5806281144,图书,画册,3,99
5804522125,食品,茶叶,4,199
6873216766,家居用品,毛巾,3,49
6862831115,图书,摄影集,1,129
6827507349,食品,方便面,1,49
6829037148,服装,手套,3,59
6896371812,服装,内衣,10,89
5861247566,服装,毛衣,2,399
6887445982,家居用品,桌布,7,79
6895751002,服装,牛仔裤,4,399
5882112614,电子产品,笔记本电脑,9,5999
6860643473,图书,小说,9,49
5881537257,图书,画册,6,99
6828830921,服装,袜子,2,29
5844362711,食品,零食大礼包,9,89
5852743923,服装,袜子,10,29
5886930931,食品,饼干,3,39
6834050047,食品,咖啡,8,129
5881999270,食品,能量棒,9,49
5864688768,电子产品,智能手表,4,899
6825750941,电子产品,U盘,7,59
5851464261,电子产品,麦克风,8,299
6821911940,食品,牛奶,3,69
6899600259,图书,科普书,9,59
5895558484,家居用品,地毯,1,299
5884178864,电子产品,移动电源,2,149
5847846135,服装,羽绒服,1,899
6877703658,服装,短裤,4,149
6802466494,家居用品,窗帘,4,399
5803735812,服装,卫衣,2,349
5842022688,电子产品,显示器,10,1299
5829089680,电子产品,路由器,4,299
5873751742,家居用品,床垫,2,5999
6891557148,图书,旅游指南,3,69
6804195572,家居用品,窗帘,5,399
6848247057,家居用品,水杯,1,49
5821766973,电子产品,路由器,2,299
6890989079,服装,围巾,9,129
6899289416,电子产品,鼠标,2,89
5851022968,服装,休闲裤,1,299
5830886559,图书,科普书,4,59
6823554955,电子产品,蓝牙耳机,6,199
6862448346,电子产品,平板电脑,1,2499
5838769142,家居用品,收纳盒,6,79
5825541244,食品,茶叶,1,199
6801364987,家居用品,毛巾,2,49
6880545195,服装,半身裙,7,299
5869018230,食品,果汁,5,39
5898482982,家居用品,收纳盒,9,79
5895161454,电子产品,摄像头,5,399
6847424942,家居用品,垃圾桶,9,59
5879388874,服装,帽子,10,79
5864138154,电子产品,游戏手柄,10,249
5848247967,图书,绘本,9,59
5889010874,服装,卫衣,1,349
5858336101,服装,毛衣,2,399
6816657166,图书,教材,10,79
5811290381,食品,方便面,3,49
6805587795,食品,咖啡,5,129
6832841492,图书,诗集,6,49
6835128354,食品,巧克力,7,59
5827187927,食品,坚果,2,79
5895898853,家居用品,收纳盒,7,79
5839594444,电子产品,移动电源,10,149
5831672482,服装,卫衣,7,349
6868786229,服装,衬衫,3,299
6819364658,食品,能量棒,1,49
5897559004,图书,历史书,2,89
5823878172,服装,羽绒服,3,899
5808511315,图书,食谱,7,49
5824441799,服装,牛仔裤,10,399
6801685156,家居用品,沙发,9,3999
6816373891,图书,字典,2,99
6872144392,电子产品,鼠标,9,89
6830213263,服装,围巾,6,129
5845686917,食品,矿泉水,10,29
5870544176,家居用品,香薰,4,99
6876503692,电子产品,鼠标,8,89
6814146241,服装,睡衣,5,199
5837519568,电子产品,移动电源,4,149
5887140993,电子产品,鼠标,3,89
6815040566,家居用品,香薰,3,99
5830454883,服装,衬衫,8,299
6841223185,家居用品,垃圾桶,1,59
6893665395,服装,西装裤,9,449
6898563651,家居用品,扫把,4,39
6838816181,食品,海苔,3,29
6899012557,服装,西装裤,10,449
5821456806,电子产品,麦克风,4,299
5805265151,家居用品,衣架,3,39
5822910476,服装,短裤,3,149
6875144209,电子产品,U盘,2,59
5862381963,食品,巧克力,2,59
6838425633,家居用品,被子,3,399
5823420148,电子产品,摄像头,10,399
5815953258,食品,蜂蜜,1,89
5890411651,食品,茶叶,8,199
5886347114,电子产品,存储卡,4,129
5808665373,图书,画册,1,99
5823746636,食品,矿泉水,1,29
5813388774,食品,饼干,8,39
5836793818,服装,睡衣,6,199
6854656379,电子产品,U盘,8,59
6810431180,电子产品,游戏手柄,10,249
6828928851,食品,矿泉水,9,29
5843842801,服装,内衣,9,89
5870615811,家居用品,毛巾,2,49
6883845774,家居用品,被子,3,399
5854549562,家居用品,纸巾,5,39
5863247655,家居用品,枕头,10,199
6859580477,食品,果汁,10,39
6840649197,家居用品,被子,1,399
6851255907,服装,围巾,9,129
6890368843,食品,牛奶,9,69
6827864891,服装,运动裤,10,249
5877260638,服装,卫衣,7,349
5868549939,服装,休闲裤,5,299
5898559914,图书,画册,7,99
6844507218,图书,杂志,1,29
5865877696,食品,牛奶,10,69
5842520913,图书,杂志,6,29
5837665363,食品,茶叶,2,199
6842226211,服装,袜子,8,29
5882101133,家居用品,纸巾,5,39
5804771350,服装,牛仔裤,6,399
6865964423,家居用品,拖把,6,89
6853297300,电子产品,移动电源,6,149
6866289139,家居用品,垃圾桶,10,59
6893190517,图书,绘本,10,59
6827649901,食品,牛奶,3,69
6866178313,图书,杂志,3,29
5800711405,服装,羽绒服,10,899
5835405260,食品,饼干,4,39
5820486804,服装,外套,8,599
5801611195,图书,漫画,6,39
5843644546,家居用品,衣架,4,39
5804758861,家居用品,香薰,7,99
6829603383,图书,字典,8,99
6861767353,食品,果汁,6,39
6840652306,食品,牛奶,2,69
5811563987,服装,内衣,5,89
5877681820,食品,巧克力,9,59
5840695758,电子产品,鼠标,9,89
6876178268,家居用品,窗帘,1,399
6875099532,食品,果汁,1,39
5853993989,电子产品,智能音箱,4,399
6873810446,电子产品,鼠标,5,89
5847996426,电子产品,移动电源,1,149
5860412339,服装,毛衣,7,399
5844666211,食品,能量棒,10,49
5874662900,家居用品,纸巾,8,39
5848978716,家居用品,餐具套装,4,199
6801244969,服装,半身裙,8,299
6893385891,图书,旅游指南,10,69
6814840827,图书,练习册,10,39
5841243581,图书,历史书,2,89
6848472509,食品,酸奶,1,59
6848495241,服装,袜子,7,29
6837249911,家居用品,香薰,3,99
5823687360,食品,茶叶,4,199
5843812598,电子产品,摄像头,8,399
5867305556,食品,肉脯,3,69
6836237383,图书,教材,8,79
6805794666,家居用品,垃圾桶,3,59
5889897144,电子产品,路由器,5,299
6835452753,食品,牛奶,2,69
5863520484,图书,教材,7,79
5855860680,食品,蜂蜜,7,89
5898796372,家居用品,收纳盒,10,79
5825695022,图书,科普书,9,59
6887103041,家居用品,餐具套装,5,199
6815308822,家居用品,拖把,5,89
6890836887,服装,短裤,8,149
5807842750,服装,短裤,6,149
5862231814,服装,毛衣,6,399
5877750266,图书,绘本,1,59
6869062683,电子产品,游戏手柄,1,249
6845708709,服装,衬衫,7,299
6879395963,图书,散文集,4,59
6809488145,电子产品,移动电源,6,149
6881691632,家居用品,纸巾,10,39
5852186744,电子产品,蓝牙耳机,2,199
6870828210,服装,内衣,8,89
5860722276,服装,外套,6,599
5887473055,图书,小说,10,49
5808511756,食品,坚果,2,79
5811169466,服装,围巾,4,129
6876456690,食品,果汁,7,39
6842608338,食品,蜂蜜,5,89
